bucket,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,method,n_synth_series,predicted_regime,vol_bucket,test_start
CORR_INFLATE_1.3,0.7717640371043802,1.938635276358968,-0.061355493961461005,-0.016227036190486065,-0.02252514072956253,0.11894592499211795,0.15412214002403773,60,mixed,0,1,low,2021-04-14
WHIPSAW,-0.4919943992435269,-0.8465227702876517,-0.11912079677116327,-0.01998009794897913,-0.03349245769711778,-0.10083846688159749,0.20495856667604986,60,mixed,0,1,low,2021-04-14
SLOW_BLEED,-0.3023315733089245,-0.7680517210377394,-0.07257454342296532,-0.0203710512085616,-0.028166038689448447,-0.05574100297953667,0.18437043266592645,60,mixed,0,1,low,2021-04-14
CRASH_2008,-1.509198839290083,-5.543223708153853,-0.9780772650153128,-0.36155257549546116,-0.4952269347510381,-5.421701083839161,3.592436558187053,60,mixed,0,1,low,2021-04-14
BASE,-0.08840694786487739,-0.21980511300035313,-0.04511094123885595,-0.013042875000221879,-0.017354379487977075,-0.009915615536559022,0.11215878136313688,60,regime,0,0,low,2021-07-07
REGIME_VOL,-0.08840694786487681,-0.21921141870058874,-0.03665654019880682,-0.010569837184480495,-0.01406384448386458,-0.008035532181635604,0.09089254154455478,60,regime,0,0,low,2021-07-07
VOL_SCALE_1.8x,-0.08840694786487746,-0.22234286266468775,-0.08027290713047419,-0.023477175000399378,-0.03123788307835874,-0.017848107965806256,0.20188580645364637,60,regime,0,0,low,2021-07-07
NEG_SHOCK_-10%,-1.8390061956219088,-3.2519221305792043,-0.13220353940639595,-0.015960249291550564,-0.04572191027395869,-0.42991561553655894,0.233776056089453,60,regime,0,0,low,2021-07-07
CORR_INFLATE_1.3,-0.14018351478303642,-0.3312825411093653,-0.04141673786864675,-0.012171029155113679,-0.01527754105140037,-0.013720642165585772,0.09787628871213112,60,regime,0,0,low,2021-07-07
WHIPSAW,-1.7178525851648927,-2.201695260000837,-0.10093973904741804,-0.015938320701883366,-0.01779266055180871,-0.2222385450064217,0.12936997442367243,60,regime,0,0,low,2021-07-07
SLOW_BLEED,-1.5799775867690977,-3.0455389481363486,-0.058164116145274836,-0.01272862389813542,-0.016358747969946078,-0.17714108110436075,0.11211619872823465,60,regime,0,0,low,2021-07-07
CRASH_2008,-1.5331684012790272,-5.61381614229029,-0.97873569805136,-0.37299063048392866,-0.49856157630312925,-5.49444226075648,3.5837173895397325,60,regime,0,0,low,2021-07-07
BASE,-0.28630792237766883,-0.8457588290666437,-0.06615494563128677,-0.016390009521581525,-0.0218994226702694,-0.05595112935408457,0.1954229170098878,60,mixed,0,0,low,2021-07-07
REGIME_VOL,-0.28630792237766844,-0.8415322705378573,-0.053880677484412165,-0.013282327101367968,-0.0177471095946968,-0.045342328861575375,0.1583691030448133,60,mixed,0,0,low,2021-07-07
